id,match_x,match_y
loc.ark+=13960=t01z4nt6s,446.96484,164.14925
loc.ark+=13960=t03x8rr1h,484.02557,44.95025
loc.ark+=13960=t03x90n1f,498.136144887218,132.330840639098
loc.ark+=13960=t04x5xs16,477.450583,102.1775434
loc.ark+=13960=t08w3hq6w,249.52077,38.80597
loc.ark+=13960=t08w41t1d,446.96484,164.14925
loc.ark+=13960=t09w16247,477.450583,102.1775434
loc.ark+=13960=t0gt6767n,484.02557,44.95025
loc.ark+=13960=t0ht34f86,477.450583,102.1775434
loc.ark+=13960=t0jt0g540,477.450583,102.1775434
loc.ark+=13960=t0ks75410,485.834151666667,41.223756
loc.ark+=13960=t0ms4bn5w,487.85944,41.263683
loc.ark+=13960=t0ms4bq9q,477.450583,102.1775434
loc.ark+=13960=t0ms4gw1r,486.58148,86.116917
loc.ark+=13960=t0ns16j33,423.96167,119.910448
loc.ark+=13960=t0qr59q0x,482.200714298246,60.5237433245614
loc.ark+=13960=t0tq6154b,249.52077,38.80597
loc.ark+=13960=t0tq6j58g,484.02557,44.95025
loc.ark+=13960=t0tq6nf0f,477.450583,102.1775434
loc.ark+=13960=t0vq3q15g,480.191696,133.4278594
loc.ark+=13960=t13n2mh9t,477.450583,102.1775434
loc.ark+=13960=t15m6v11c,487.85944,41.263683
loc.ark+=13960=t15m6z72s,477.450583,102.1775434
loc.ark+=13960=t15m6zs4x,477.450583,102.1775434
loc.ark+=13960=t16m3w001,484.02557,44.95025
loc.ark+=13960=t17m0ww4s,484.02557,44.95025
loc.ark+=13960=t18k81j8w,446.96484,164.14925
loc.ark+=13960=t1bk1tj10,487.85944,41.263683
loc.ark+=13960=t1bk20d7j,446.96484,164.14925
loc.ark+=13960=t1bk2450p,477.450583,102.1775434
loc.ark+=13960=t1cj96k9v,446.96484,164.14925
loc.ark+=13960=t1hh78q7n,477.450583,102.1775434
loc.ark+=13960=t1kh19k83,477.450583,102.1775434
loc.ark+=13960=t1mg82w7c,446.96484,164.14925
loc.ark+=13960=t1pg26z78,485.9425,47.40796
loc.ark+=13960=t1pg29c7w,487.85944,41.263683
loc.ark+=13960=t1qf9fs5k,473.80191,127.8980125
loc.ark+=13960=t1zc85578,249.52077,38.80597
loc.ark+=13960=t1zc8jn35,484.02557,44.95025
loc.ark+=13960=t20c5qh4c,480.191696,133.4278594
loc.ark+=13960=t22b9sz6s,492.019222693548,80.9280137247312
loc.ark+=13960=t2988vk4t,484.02557,44.95025
loc.ark+=13960=t2988xm05,498.136144887218,132.330840639098
loc.ark+=13960=t2c82x89c,487.85944,41.263683
loc.ark+=13960=t2c833t52,487.85944,41.263683
loc.ark+=13960=t2d79z74j,484.02557,44.95025
loc.ark+=13960=t2f76zz82,477.450583,102.1775434
loc.ark+=13960=t2g746f3c,487.85944,41.263683
loc.ark+=13960=t2j67z488,487.85944,41.263683
loc.ark+=13960=t2k64zh8c,188.503134916667,174.775261020833
loc.ark+=13960=t2m62825c,477.450583,102.1775434
loc.ark+=13960=t2p569z95,477.450583,102.1775434
loc.ark+=13960=t2r503c40,446.96484,164.14925
loc.ark+=13960=t2v41bv9j,484.02557,44.95025
loc.ark+=13960=t2v41bx1k,477.450583,102.1775434
loc.ark+=13960=t2v41cn79,482.200714298246,60.5237433245614
loc.ark+=13960=t2w38cn0j,446.96484,164.14925
loc.ark+=13960=t2x35903t,485.623015,52.9378115
loc.ark+=13960=t3126mz4t,477.450583,102.1775434
loc.ark+=13960=t3223dq7t,485.623015,52.9378115
loc.ark+=13960=t3223hp26,485.834151666667,41.223756
loc.ark+=13960=t3320k68t,477.450583,102.1775434
loc.ark+=13960=t3417kt71,446.96484,164.14925
loc.ark+=13960=t3902xm7s,477.450583,102.1775434
loc.ark+=13960=t39z9wt3f,477.450583,102.1775434
loc.ark+=13960=t3gx4z93v,477.450583,102.1775434
loc.ark+=13960=t3qv4b444,193.115023333333,68.7081266666667
loc.ark+=13960=t3rv14c5f,479.90466,90.845433
loc.ark+=13960=t3vt28p72,484.02557,44.95025
loc.ark+=13960=t3ws98b76,486.00742,40.889866
loc.ark+=13960=t3ws9f77x,477.450583,102.1775434
loc.ark+=13960=t3ws9h064,477.450583,102.1775434
loc.ark+=13960=t3zs36x2x,477.450583,102.1775434
loc.ark+=13960=t3zs3dz8r,482.200714298246,60.5237433245614
loc.ark+=13960=t40s07f8d,477.450583,102.1775434
loc.ark+=13960=t45q5m79h,484.025555,87.03855775
loc.ark+=13960=t4bp09p12,249.52077,38.80597
loc.ark+=13960=t4dn4pt2p,485.834151666667,41.223756
loc.ark+=13960=t4fn1rm1h,484.517685,38.6624395
loc.ark+=13960=t4hm60m1k,482.7476,13
loc.ark+=13960=t4hm61s17,477.450583,102.1775434
loc.ark+=13960=t4kk9sr0t,477.450583,102.1775434
loc.ark+=13960=t4mk6z748,477.450583,102.1775434
loc.ark+=13960=t4pk14672,477.450583,102.1775434
loc.ark+=13960=t4rj55m27,484.02557,44.95025
loc.ark+=13960=t4sj2047g,482.200714298246,60.5237433245614
loc.ark+=13960=t4sj22k4p,484.517685,38.6624395
loc.ark+=13960=t4th9845f,477.450583,102.1775434
loc.ark+=13960=t4th9899m,477.450583,102.1775434
loc.ark+=13960=t4vh6bb8k,484.025576666667,49.4560543333333
loc.ark+=13960=t4wh3b05t,477.450583,102.1775434
loc.ark+=13960=t4xh0br0f,477.450583,102.1775434
loc.ark+=13960=t52f86450,446.96484,164.14925
loc.ark+=13960=t52f87d4h,477.450583,102.1775434
loc.ark+=13960=t52f8g111,477.450583,102.1775434
loc.ark+=13960=t53f4vc68,95.0427498627451,92.5838117431373
loc.ark+=13960=t53f5d318,484.02557,44.95025
loc.ark+=13960=t53f5gx5s,498.72205,139.57214
loc.ark+=13960=t53f5hx56,479.90466,90.845433
loc.ark+=13960=t54f2fq0f,127.744935333333,114.134378333333
loc.ark+=13960=t55d9k225,477.450583,102.1775434
loc.ark+=13960=t59c7d462,487.85944,41.263683
loc.ark+=13960=t59c7pf8c,477.450583,102.1775434
loc.ark+=13960=t5bc4gc3r,477.450583,102.1775434
loc.ark+=13960=t5bc4nw60,482.200714298246,60.5237433245614
loc.ark+=13960=t5cc1h811,477.450583,102.1775434
loc.ark+=13960=t5h99rj6h,484.02557,44.95025
loc.ark+=13960=t5k93v46q,446.96484,164.14925
loc.ark+=13960=t5p851c2b,498.136144887218,132.330840639098
loc.ark+=13960=t5q81df8g,95.0427498627451,92.5838117431373
loc.ark+=13960=t5q81zb0w,477.450583,102.1775434
loc.ark+=13960=t5t73584r,477.450583,102.1775434
loc.ark+=13960=t5v69z723,175.13579,49.865672
