subd_id,x,y
1,339.43698,146.67145
2,366.45367,185.0398
3,130.03195,187.49751
4,316.6134,156.77612
5,147.77652,200.77571
6,380.51117,159.23383
7,368.3706,172.75125
8,357.508,130.97015
9,333.22684,144.48756
10,239.9361,215.7612
11,422.68372,175.20895
12,358.14697,142.02985
13,181.78914,240.3383
14,133.86581,216.99005
15,395.84665,251.39801
16,353.03516,164.14925
17,335.78275,228.04974
18,250.79872,241.56717
19,343.85977,150.08516
20,328.11502,126.054726
21,291.05432,99.0199
22,353.03516,151.8607
23,188.89165,230.8456
24,353.03516,197.32835
25,361.34186,162.9204
26,363.2588,150.63184
27,486.58148,108.850746
28,372.20447,153.08955
29,311.5016,129.74129
30,253.17288,51.15443
31,349.84024,150.63184
32,355.79932,84.67076
33,333.8658,155.54726
34,195.84665,154.3184
35,244.40895,241.56717
36,206.07028,196.0995
37,306.38977,230.50746
38,180.51118,234.19403
39,349.84024,210.84576
40,411.1821,160.46269
41,360.70288,193.64178
42,334.5048,186.26866
43,101.277954,144.48756
44,383.06708,154.3184
45,342.8115,165.37811
46,163.25879,232.96518
47,195.20767,183.81094
48,326.1981,143.25871
49,304.47284,170.29353
50,347.9233,172.75125
51,354.9521,159.23383
52,207.98721,180.12437
53,270.60703,43.721394
54,301.91693,203.47264
55,329.39297,144.48756
56,125.02245,177.90712
57,100,161.69154
58,491.92496,150.49611
59,369.00958,151.8607
60,199.73804,200.69295
61,230.35144,47.40796
62,377.95526,182.58209
63,400.3195,159.23383
64,135.78275,219.44775
65,156.869,223.13432
66,150.2019,211.55807
67,406.70926,246.48259
68,367.73163,193.64178
69,404.79233,160.46269
70,178.59425,192.41293
71,441.85303,180.12437
72,234.82428,65.8408
73,384.98404,196.0995
74,113.41853,175.20895
75,277.63577,220.67662
76,350.47925,167.83582
77,360.70288,178.89552
78,243.131,43.721394
79,498.08307,127.283585
80,364.53674,199.78607
81,359.42493,137.11443
82,345.3674,193.64178
83,347.28433,209.61691
84,320.4473,133.42786
85,371.5655,228.04974
86,190.09584,185.0398
87,240.57507,47.40796
88,213.73802,252.62686
89,365.17572,143.25871
90,190.73482,228.04974
91,334.5048,144.48756
92,177.3163,166.60696
93,398.40256,255.08458
94,105.111824,187.49751
95,500,130.97015
96,147.92332,193.64178
97,238.01917,57.238808
98,179.23323,181.35324
99,498.08307,192.41293
100,395.84665,257.5423
101,357.508,154.3184
102,186.26198,230.50746
103,170.92651,221.90547
104,425.8786,182.58209
105,494.88818,156.77612
106,365.8147,246.48259
107,297.4441,110.079605
108,158.14696,236.65175
109,276.35782,75.67164
110,375.39935,165.37811
111,170.28754,191.18408
112,484.02557,38.80597
113,262.9393,58.467663
114,365.17572,161.69154
115,294.2492,221.90547
116,319.16934,99.0199
117,306.38977,139.57214
118,142.17253,192.41293
119,204.79233,170.29353
120,250.79872,83.04478
121,144.72844,197.32835
122,492.32568,29.519371
123,499.59268,155.01884
124,461.66135,165.37811
125,172.84177,231.34332
126,491.6933,154.3184
127,315.97443,108.850746
128,191.3738,197.32835
129,207.34824,170.29353
130,350.47925,143.25871
131,289.1374,70.75622
132,207.34824,245.25374
133,310.22363,114.995026
134,476.35782,153.08955
135,335.78275,170.29353
136,136.42172,199.78607
137,133.22684,188.72636
138,411.1821,245.25374
139,365.8147,167.83582
140,372.20447,189.95523
141,205.88202,136.76195
142,482.7476,13
143,426.51758,162.9204
144,405.4313,177.66667
145,487.22046,145.71642
146,305.11182,133.42786
147,183.0671,196.0995
148,354.3131,198.55722
149,234.82428,53.55224
150,416.2939,171.52238
151,392.0128,252.62686
152,138.97763,180.12437
153,150.47923,203.47264
154,435.46326,188.72636
155,206.70926,197.32835
156,130.03195,208.38806
157,227.53946,51.01821
158,228.43451,44.95025
159,136.42172,188.72636
160,130.67093,183.81094
161,249.52077,241.56717
162,376.6773,232.96518
163,295.52716,142.02985
164,108.94569,167.83582
165,370.28754,204.70149
166,232.90735,43.721394
167,362.6198,113.76617
168,195.20767,201.01492
169,472.52396,112.537315
170,485.30353,58.467663
171,492.97125,158.00497
172,252.71565,99.0199
173,114.05751,172.75125
174,420.1278,169.06468
175,163.89777,223.13432
176,174.98329,235.62636
177,210.86365,198.06557
178,376.6773,189.95523
