"id","id2","full_call","short_call","main","topic","class","subclass","matched_class","matched_subclass","matched_lowtopic","matched_hightopic","match_x","match_y","multimatch"
"nnc2.ark+=13960=t79s2j49z","7019362","RC415.B36 1888;RC415.B36 1888","RC415","RC","415","R","C","R","C","346","429","418.690085833333","162.408373333333","0"
"nnc2.ark+=13960=t7br9gr4d","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t7fr0kf25","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t84j16h48","","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t8df7f57v","13013030","QL750.B5 vol. 2, no. 1;QL750.B5 vol. 2, no. 1","QL750","QL","750","Q","L","Q","L","750","750","330.990405","111.922885","0"
"nnc2.ark+=13960=t8ff4j864","","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t8nc6np4q","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t8nc6qm54","11001148","RA778.G3;RA778.G3","RA778","RA","778","R","A","R","A","421","790.95","386.78114625","185.884638125","0"
"nnc2.ark+=13960=t8z89cp9q","","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t94752x74","7020748","B21.C75 vol. 14, no. 3a;B21.C75 vol. 14, no. 3a","B21","B","21","B","","B","","21","21","455.91055","175.20895","0"
"nnc2.ark+=13960=t99607673","7004526","QP361.M83;QP361.M83","QP361","QP","361","Q","P","Q","P","351","495","405.149091","162.0499585","0"
"nnc2.ark+=13960=t99607m7g","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t9h42f10w","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t9j39fx24","ga07000288","","","","","","","","","","","-","-","0"
"nnc2.ark+=13960=t9m33hn6n","ga07000288","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=fk9b56dq7k","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t00002d7c","12034529","BR45.B3 1894;BR45.B3 1894","BR45","BR","45","B","R","B","R","1","1725","486.112615535714","44.7346468392857","0"
"uc2.ark+=13960=t00006243","20000278","PR6005.U5E6 1919;PR6005.U5E6 1919","PR6005","PR","6005","P","R","P","R","6005","6005","486.00742","40.889866","0"
"uc2.ark+=13960=t00007v0w","21000456","HV6046.F4;HV6046.F4","HV6046","HV","6046","H","V","H","V","6001","7220.5","460.436632916667","149.991809958333","0"
"uc2.ark+=13960=t0000866p","14030427","HD5706.P5;HD5706.P5","HD5706","HD","5706","H","D","H","D","5701","6000.9","489.45688","137.7288525","0"
